zip,msa,beds,max_rent,prior_acq
30187,Atlanta,4,1420,
76123,Dallas,3,2540,
76123,Dallas,4,3150,
38018,Memphis,3,2030,
38018,Memphis,4,2370,
30121,Atlanta,3,1400,
30121,Atlanta,4,1680,
76106,Dallas,3,1430,
76106,Dallas,4,1770,
30180,Atlanta,3,1670,
30180,Atlanta,4,1990,
30228,Atlanta,3,1810,
30228,Atlanta,4,2170,
30281,Atlanta,3,1730,
30281,Atlanta,4,2070,
32219,Jacksonville,3,1440,
32219,Jacksonville,4,1810,
30013,Atlanta,3,1660,
30013,Atlanta,4,1980,
76010,Dallas,3,1610,
76010,Dallas,4,1970,
38134,Memphis,3,1490,
38134,Memphis,4,1750,
30134,Atlanta,3,1470,
30134,Atlanta,4,1760,
76140,Dallas,3,1760,
76140,Dallas,4,2180,
30224,Atlanta,4,1610,
38141,Memphis,3,1800,
38141,Memphis,4,2110,
75253,Dallas,3,1710,
75253,Dallas,4,2170,
38053,Memphis,3,1490,
38053,Memphis,4,1750,
32220,Jacksonville,3,1680,
32220,Jacksonville,4,2100,
30223,Atlanta,4,1460,
32216,Jacksonville,3,1570,
32216,Jacksonville,4,1960,
30054,Atlanta,3,1450,
30054,Atlanta,4,1730,
